date,action,code,name,shares,price,amount,fee,industry,score
2026-08-10,BUY,688203,海正生材,800,12.17,9736.00,2.92,塑料,0.8125
2026-08-10,BUY,688130,晶华微,400,25.76,10304.00,3.09,半导体,0.7789
2026-08-10,BUY,688137,近岸蛋白,200,54.90,10980.00,3.29,生物制品,0.7621
2026-08-10,BUY,300862,蓝盾光电,400,22.81,9124.00,2.74,环保设备,0.7456
2026-08-10,BUY,301552,科力装备,400,26.79,10716.00,3.21,汽车零部件,0.7334
2026-08-10,BUY,300062,中能电气,1300,7.63,9919.00,2.98,电网设备,0.7187
2026-08-10,BUY,301336,趣睡科技,200,45.49,9098.00,2.73,家用轻工,0.6942
2026-08-10,BUY,301067,显盈科技,300,31.24,9372.00,2.81,消费电子,0.6821
2026-08-10,BUY,688084,晶品特装,200,50.06,10012.00,3.00,军工电子,0.6758
2026-08-10,BUY,300892,品渥食品,400,24.70,9880.00,2.96,食品加工,0.6612
