,0
2006-02-28,0.0
2006-03-31,0.0
2006-04-30,0.0
2006-05-31,0.0
2006-06-30,0.0
2006-07-31,-0.012484342929273251
2006-08-31,-0.0005287966705889158
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,-0.004384514532475126
2006-12-31,-0.0010107447236393785
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,-0.09315705948088526
2007-07-31,0.0
2007-08-31,0.0
2007-09-30,-0.008260881562039524
2007-10-31,-0.046980604982082785
2007-11-30,-0.04261004339339036
2007-12-31,0.0
2008-01-31,-0.024842263998908765
2008-02-29,0.0
2008-03-31,-0.06189816763430189
2008-04-30,-0.07644400149770025
2008-05-31,-0.07808558038576441
2008-06-30,-0.11930162437207559
2008-07-31,-0.09651152824711373
2008-08-31,-0.13568529080028102
2008-09-30,-0.1527505332123792
2008-10-31,-0.19280581656154316
2008-11-30,-0.16539447141869468
2008-12-31,-0.13401734065946314
2009-01-31,-0.11644022118741659
2009-02-28,-0.10011762464167251
2009-03-31,-0.022142109901472584
2009-04-30,0.0
2009-05-31,0.0
2009-06-30,0.0
2009-07-31,0.0
2009-08-31,-0.06401190862522776
2009-09-30,-0.01324960599769398
2009-10-31,0.0
2009-11-30,0.0
2009-12-31,0.0
2010-01-31,0.0
2010-02-28,0.0
2010-03-31,0.0
2010-04-30,-0.018152580437902577
2010-05-31,-0.03758296359629565
2010-06-30,-0.05504160565429794
2010-07-31,-0.014959943723073188
2010-08-31,0.0
2010-09-30,0.0
2010-10-31,0.0
2010-11-30,0.0
2010-12-31,0.0
2011-01-31,-0.045707812117469104
2011-02-28,0.0
2011-03-31,-0.021734772446948547
2011-04-30,-0.05328570870229177
2011-05-31,-0.1019010558382073
2011-06-30,-0.09629333155757436
2011-07-31,-0.08324734152837565
2011-08-31,-0.07916812726141986
2011-09-30,-0.10182932389287203
2011-10-31,-0.09350220303510137
2011-11-30,-0.09395943816012764
2011-12-31,-0.122031995329422
2012-01-31,-0.1383563559956852
2012-02-29,-0.12334597421556381
2012-03-31,-0.13674271608511468
2012-04-30,-0.12739920985032183
2012-05-31,-0.11583757013773799
2012-06-30,-0.1097447521872068
2012-07-31,-0.1320082559750162
2012-08-31,-0.11791927377536615
2012-09-30,-0.11919986251900694
2012-10-31,-0.11894306629772389
2012-11-30,-0.1379170193429755
2012-12-31,-0.11352342986199904
2013-01-31,-0.08728465204199876
2013-02-28,-0.04658455481954682
2013-03-31,-0.07265055700672629
2013-04-30,-0.07841259106487208
2013-05-31,0.0
2013-06-30,-0.11967265336295707
2013-07-31,-0.0734622265716307
2013-08-31,-0.020523425628160674
2013-09-30,0.0
2013-10-31,0.0
2013-11-30,0.0
2013-12-31,0.0
2014-01-31,0.0
2014-02-28,0.0
2014-03-31,-0.031452092965809975
2014-04-30,-0.03241673447069382
2014-05-31,-0.008255112520480279
2014-06-30,0.0
2014-07-31,0.0
2014-08-31,0.0
2014-09-30,0.0
2014-10-31,0.0
2014-11-30,0.0
2014-12-31,-0.06837849537509788
2015-01-31,-0.0001984975890816365
2015-02-28,0.0
2015-03-31,0.0
2015-04-30,0.0
2015-05-31,0.0
2015-06-30,-0.09344939494163929
2015-07-31,-0.1248533924144275
2015-08-31,-0.16920154711860502
2015-09-30,-0.1647543675962152
2015-10-31,-0.1139337080417806
2015-11-30,-0.05513059193271941
2015-12-31,-0.03138357475898723
2016-01-31,-0.16739397279193835
2016-02-29,-0.17388851850366327
2016-03-31,-0.133017923072846
2016-04-30,-0.1277024743672237
2016-05-31,-0.12327872810138385
2016-06-30,-0.08816883640600293
2016-07-31,-0.08914950284212031
2016-08-31,-0.03636093003487295
2016-09-30,-0.03122124943135085
2016-10-31,0.0
2016-11-30,0.0
2016-12-31,-0.03231694673949459
2017-01-31,-0.06816334802251445
2017-02-28,-0.03465442444146605
2017-03-31,0.0
2017-04-30,-0.06490909866006356
2017-05-31,-0.0961279663357999
2017-06-30,-0.0802799215463097
2017-07-31,-0.08839749741288827
2017-08-31,-0.05649031555756945
2017-09-30,-0.038917308119865046
2017-10-31,-0.01660847268441823
2017-11-30,-0.08162720018935732
2017-12-31,-0.0894590733797701
2018-01-31,-0.10407689906429662
2018-02-28,-0.10735678415042804
2018-03-31,-0.06940422069099728
2018-04-30,-0.072959405833676
2018-05-31,-0.07498645275620353
2018-06-30,-0.1009783369623396
2018-07-31,-0.10027505380932045
2018-08-31,-0.11441308235052539
2018-09-30,-0.12006456149623468
2018-10-31,-0.12650144578287292
2018-11-30,-0.11726629357609342
2018-12-31,-0.1163251191205974
2019-01-31,-0.12007858037717056
2019-02-28,-0.08620910158789341
2019-03-31,-0.03091807013808623
2019-04-30,-0.018151418678911124
2019-05-31,-0.02159548611949269
2019-06-30,-0.005597259616216155
2019-07-31,0.0
2019-08-31,-0.016699292630409035
2019-09-30,0.0
2019-10-31,0.0
2019-11-30,-0.018398328645083506
2019-12-31,0.0
2020-01-31,0.0
2020-02-29,-0.02550779756702337
2020-03-31,0.0
2020-04-30,0.0
2020-05-31,0.0
2020-06-30,0.0
2020-07-31,0.0
2020-08-31,0.0
2020-09-30,-0.05097451947869314
2020-10-31,-0.049666270708649485
2020-11-30,-0.018389346544496754
2020-12-31,-0.06554258774029076
2021-01-31,-0.11752855590639555
2021-02-28,-0.106133511806637
2021-03-31,-0.09432710248176912
2021-04-30,-0.09291680031299254
2021-05-31,-0.0789128605678342
2021-06-30,-0.06045845046860754
2021-07-31,-0.06713372266913897
2021-08-31,-0.017147095778207944
2021-09-30,-0.0251079111696767
2021-10-31,-0.03964650151999749
2021-11-30,0.0
2021-12-31,0.0
2022-01-31,-0.03944380109858836
2022-02-28,-0.006399791965602364
2022-03-31,-0.038941365929552885
2022-04-30,-0.07470515826348523
2022-05-31,-0.0556684354847895
2022-06-30,-0.03920209426189081
2022-07-31,-0.014978797184891701
2022-08-31,-0.02011498876042006
2022-09-30,-0.03867983233371708
